path,Body_part,abnormality,bodypart_abnormality
multiclass_train/Abnormal-ELBOW/abnormal_elbow_1.png,Abnormal,ELBOW,abnormal_elbow
multiclass_train/Abnormal-ELBOW/abnormal_elbow_10.png,Abnormal,ELBOW,abnormal_elbow
multiclass_train/Abnormal-ELBOW/abnormal_elbow_100.png,Abnormal,ELBOW,abnormal_elbow
multiclass_train/Abnormal-ELBOW/abnormal_elbow_1000.png,Abnormal,ELBOW,abnormal_elbow
multiclass_train/Abnormal-ELBOW/abnormal_elbow_1001.png,Abnormal,ELBOW,abnormal_elbow
multiclass_train/Abnormal-ELBOW/abnormal_elbow_1002.png,Abnormal,ELBOW,abnormal_elbow
multiclass_train/Abnormal-ELBOW/abnormal_elbow_1003.png,Abnormal,ELBOW,abnormal_elbow
multiclass_train/Abnormal-ELBOW/abnormal_elbow_1004.png,Abnormal,ELBOW,abnormal_elbow
multiclass_train/Abnormal-ELBOW/abnormal_elbow_1005.png,Abnormal,ELBOW,abnormal_elbow
multiclass_train/Abnormal-ELBOW/abnormal_elbow_1006.png,Abnormal,ELBOW,abnormal_elbow
multiclass_train/Abnormal-ELBOW/abnormal_elbow_1007.png,Abnormal,ELBOW,abnormal_elbow
multiclass_train/Abnormal-ELBOW/abnormal_elbow_1008.png,Abnormal,ELBOW,abnormal_elbow
multiclass_train/Abnormal-ELBOW/abnormal_elbow_1009.png,Abnormal,ELBOW,abnormal_elbow
multiclass_train/Abnormal-ELBOW/abnormal_elbow_101.png,Abnormal,ELBOW,abnormal_elbow
multiclass_train/Abnormal-ELBOW/abnormal_elbow_1010.png,Abnormal,ELBOW,abnormal_elbow
multiclass_train/Abnormal-ELBOW/abnormal_elbow_1011.png,Abnormal,ELBOW,abnormal_elbow
multiclass_train/Abnormal-ELBOW/abnormal_elbow_1012.png,Abnormal,ELBOW,abnormal_elbow
multiclass_train/Abnormal-ELBOW/abnormal_elbow_1013.png,Abnormal,ELBOW,abnormal_elbow
multiclass_train/Abnormal-ELBOW/abnormal_elbow_1014.png,Abnormal,ELBOW,abnormal_elbow
multiclass_train/Abnormal-ELBOW/abnormal_elbow_1015.png,Abnormal,ELBOW,abnormal_elbow
multiclass_train/Abnormal-ELBOW/abnormal_elbow_1016.png,Abnormal,ELBOW,abnormal_elbow
multiclass_train/Abnormal-ELBOW/abnormal_elbow_1017.png,Abnormal,ELBOW,abnormal_elbow
multiclass_train/Abnormal-ELBOW/abnormal_elbow_1018.png,Abnormal,ELBOW,abnormal_elbow
multiclass_train/Abnormal-ELBOW/abnormal_elbow_102.png,Abnormal,ELBOW,abnormal_elbow
multiclass_train/Abnormal-ELBOW/abnormal_elbow_1020.png,Abnormal,ELBOW,abnormal_elbow
multiclass_train/Abnormal-ELBOW/abnormal_elbow_1021.png,Abnormal,ELBOW,abnormal_elbow
multiclass_train/Abnormal-ELBOW/abnormal_elbow_1022.png,Abnormal,ELBOW,abnormal_elbow
multiclass_train/Abnormal-ELBOW/abnormal_elbow_1023.png,Abnormal,ELBOW,abnormal_elbow
multiclass_train/Abnormal-ELBOW/abnormal_elbow_1025.png,Abnormal,ELBOW,abnormal_elbow
multiclass_train/Abnormal-ELBOW/abnormal_elbow_1026.png,Abnormal,ELBOW,abnormal_elbow
multiclass_train/Abnormal-ELBOW/abnormal_elbow_1028.png,Abnormal,ELBOW,abnormal_elbow
multiclass_train/Abnormal-ELBOW/abnormal_elbow_1029.png,Abnormal,ELBOW,abnormal_elbow
multiclass_train/Abnormal-ELBOW/abnormal_elbow_103.png,Abnormal,ELBOW,abnormal_elbow
multiclass_train/Abnormal-ELBOW/abnormal_elbow_1030.png,Abnormal,ELBOW,abnormal_elbow
multiclass_train/Abnormal-ELBOW/abnormal_elbow_1031.png,Abnormal,ELBOW,abnormal_elbow
multiclass_train/Abnormal-ELBOW/abnormal_elbow_1032.png,Abnormal,ELBOW,abnormal_elbow
multiclass_train/Abnormal-ELBOW/abnormal_elbow_1033.png,Abnormal,ELBOW,abnormal_elbow
multiclass_train/Abnormal-ELBOW/abnormal_elbow_1034.png,Abnormal,ELBOW,abnormal_elbow
multiclass_train/Abnormal-ELBOW/abnormal_elbow_1035.png,Abnormal,ELBOW,abnormal_elbow
multiclass_train/Abnormal-ELBOW/abnormal_elbow_1036.png,Abnormal,ELBOW,abnormal_elbow
multiclass_train/Abnormal-ELBOW/abnormal_elbow_1037.png,Abnormal,ELBOW,abnormal_elbow
multiclass_train/Abnormal-ELBOW/abnormal_elbow_1038.png,Abnormal,ELBOW,abnormal_elbow
multiclass_train/Abnormal-ELBOW/abnormal_elbow_104.png,Abnormal,ELBOW,abnormal_elbow
multiclass_train/Abnormal-ELBOW/abnormal_elbow_1040.png,Abnormal,ELBOW,abnormal_elbow
multiclass_train/Abnormal-ELBOW/abnormal_elbow_1041.png,Abnormal,ELBOW,abnormal_elbow
multiclass_train/Abnormal-ELBOW/abnormal_elbow_1043.png,Abnormal,ELBOW,abnormal_elbow
multiclass_train/Abnormal-ELBOW/abnormal_elbow_1044.png,Abnormal,ELBOW,abnormal_elbow
multiclass_train/Abnormal-ELBOW/abnormal_elbow_1045.png,Abnormal,ELBOW,abnormal_elbow
multiclass_train/Abnormal-ELBOW/abnormal_elbow_1046.png,Abnormal,ELBOW,abnormal_elbow
multiclass_train/Abnormal-ELBOW/abnormal_elbow_1047.png,Abnormal,ELBOW,abnormal_elbow
multiclass_train/Abnormal-ELBOW/abnormal_elbow_1048.png,Abnormal,ELBOW,abnormal_elbow
multiclass_train/Abnormal-ELBOW/abnormal_elbow_105.png,Abnormal,ELBOW,abnormal_elbow
multiclass_train/Abnormal-ELBOW/abnormal_elbow_1050.png,Abnormal,ELBOW,abnormal_elbow
multiclass_train/Abnormal-ELBOW/abnormal_elbow_1052.png,Abnormal,ELBOW,abnormal_elbow
multiclass_train/Abnormal-ELBOW/abnormal_elbow_1053.png,Abnormal,ELBOW,abnormal_elbow
multiclass_train/Abnormal-ELBOW/abnormal_elbow_1054.png,Abnormal,ELBOW,abnormal_elbow
multiclass_train/Abnormal-ELBOW/abnormal_elbow_1056.png,Abnormal,ELBOW,abnormal_elbow
multiclass_train/Abnormal-ELBOW/abnormal_elbow_1058.png,Abnormal,ELBOW,abnormal_elbow
multiclass_train/Abnormal-ELBOW/abnormal_elbow_1059.png,Abnormal,ELBOW,abnormal_elbow
multiclass_train/Abnormal-ELBOW/abnormal_elbow_106.png,Abnormal,ELBOW,abnormal_elbow
multiclass_train/Abnormal-ELBOW/abnormal_elbow_1062.png,Abnormal,ELBOW,abnormal_elbow
multiclass_train/Abnormal-ELBOW/abnormal_elbow_1063.png,Abnormal,ELBOW,abnormal_elbow
multiclass_train/Abnormal-ELBOW/abnormal_elbow_1065.png,Abnormal,ELBOW,abnormal_elbow
multiclass_train/Abnormal-ELBOW/abnormal_elbow_1066.png,Abnormal,ELBOW,abnormal_elbow
multiclass_train/Abnormal-ELBOW/abnormal_elbow_1067.png,Abnormal,ELBOW,abnormal_elbow
multiclass_train/Abnormal-ELBOW/abnormal_elbow_1068.png,Abnormal,ELBOW,abnormal_elbow
multiclass_train/Abnormal-ELBOW/abnormal_elbow_107.png,Abnormal,ELBOW,abnormal_elbow
multiclass_train/Abnormal-ELBOW/abnormal_elbow_1070.png,Abnormal,ELBOW,abnormal_elbow
multiclass_train/Abnormal-ELBOW/abnormal_elbow_1071.png,Abnormal,ELBOW,abnormal_elbow
multiclass_train/Abnormal-ELBOW/abnormal_elbow_1072.png,Abnormal,ELBOW,abnormal_elbow
multiclass_train/Abnormal-ELBOW/abnormal_elbow_1073.png,Abnormal,ELBOW,abnormal_elbow
multiclass_train/Abnormal-ELBOW/abnormal_elbow_1074.png,Abnormal,ELBOW,abnormal_elbow
multiclass_train/Abnormal-ELBOW/abnormal_elbow_1075.png,Abnormal,ELBOW,abnormal_elbow
multiclass_train/Abnormal-ELBOW/abnormal_elbow_1076.png,Abnormal,ELBOW,abnormal_elbow
multiclass_train/Abnormal-ELBOW/abnormal_elbow_1077.png,Abnormal,ELBOW,abnormal_elbow
multiclass_train/Abnormal-ELBOW/abnormal_elbow_1078.png,Abnormal,ELBOW,abnormal_elbow
multiclass_train/Abnormal-ELBOW/abnormal_elbow_1079.png,Abnormal,ELBOW,abnormal_elbow
multiclass_train/Abnormal-ELBOW/abnormal_elbow_108.png,Abnormal,ELBOW,abnormal_elbow
multiclass_train/Abnormal-ELBOW/abnormal_elbow_1080.png,Abnormal,ELBOW,abnormal_elbow
multiclass_train/Abnormal-ELBOW/abnormal_elbow_1081.png,Abnormal,ELBOW,abnormal_elbow
multiclass_train/Abnormal-ELBOW/abnormal_elbow_1082.png,Abnormal,ELBOW,abnormal_elbow
multiclass_train/Abnormal-ELBOW/abnormal_elbow_1083.png,Abnormal,ELBOW,abnormal_elbow
multiclass_train/Abnormal-ELBOW/abnormal_elbow_1084.png,Abnormal,ELBOW,abnormal_elbow
multiclass_train/Abnormal-ELBOW/abnormal_elbow_1085.png,Abnormal,ELBOW,abnormal_elbow
multiclass_train/Abnormal-ELBOW/abnormal_elbow_1086.png,Abnormal,ELBOW,abnormal_elbow
multiclass_train/Abnormal-ELBOW/abnormal_elbow_1087.png,Abnormal,ELBOW,abnormal_elbow
multiclass_train/Abnormal-ELBOW/abnormal_elbow_109.png,Abnormal,ELBOW,abnormal_elbow
multiclass_train/Abnormal-ELBOW/abnormal_elbow_1090.png,Abnormal,ELBOW,abnormal_elbow
multiclass_train/Abnormal-ELBOW/abnormal_elbow_1091.png,Abnormal,ELBOW,abnormal_elbow
multiclass_train/Abnormal-ELBOW/abnormal_elbow_1092.png,Abnormal,ELBOW,abnormal_elbow
multiclass_train/Abnormal-ELBOW/abnormal_elbow_1093.png,Abnormal,ELBOW,abnormal_elbow
multiclass_train/Abnormal-ELBOW/abnormal_elbow_1094.png,Abnormal,ELBOW,abnormal_elbow
multiclass_train/Abnormal-ELBOW/abnormal_elbow_1095.png,Abnormal,ELBOW,abnormal_elbow
multiclass_train/Abnormal-ELBOW/abnormal_elbow_1096.png,Abnormal,ELBOW,abnormal_elbow
multiclass_train/Abnormal-ELBOW/abnormal_elbow_1098.png,Abnormal,ELBOW,abnormal_elbow
multiclass_train/Abnormal-ELBOW/abnormal_elbow_11.png,Abnormal,ELBOW,abnormal_elbow
multiclass_train/Abnormal-ELBOW/abnormal_elbow_110.png,Abnormal,ELBOW,abnormal_elbow
multiclass_train/Abnormal-ELBOW/abnormal_elbow_1100.png,Abnormal,ELBOW,abnormal_elbow
multiclass_train/Abnormal-ELBOW/abnormal_elbow_1102.png,Abnormal,ELBOW,abnormal_elbow
multiclass_train/Abnormal-ELBOW/abnormal_elbow_1103.png,Abnormal,ELBOW,abnormal_elbow
multiclass_train/Abnormal-ELBOW/abnormal_elbow_1104.png,Abnormal,ELBOW,abnormal_elbow
multiclass_train/Abnormal-ELBOW/abnormal_elbow_1105.png,Abnormal,ELBOW,abnormal_elbow
multiclass_train/Abnormal-ELBOW/abnormal_elbow_1107.png,Abnormal,ELBOW,abnormal_elbow
multiclass_train/Abnormal-ELBOW/abnormal_elbow_1108.png,Abnormal,ELBOW,abnormal_elbow
multiclass_train/Abnormal-ELBOW/abnormal_elbow_1109.png,Abnormal,ELBOW,abnormal_elbow
multiclass_train/Abnormal-ELBOW/abnormal_elbow_1110.png,Abnormal,ELBOW,abnormal_elbow
multiclass_train/Abnormal-ELBOW/abnormal_elbow_1111.png,Abnormal,ELBOW,abnormal_elbow
multiclass_train/Abnormal-ELBOW/abnormal_elbow_1112.png,Abnormal,ELBOW,abnormal_elbow
multiclass_train/Abnormal-ELBOW/abnormal_elbow_1114.png,Abnormal,ELBOW,abnormal_elbow
multiclass_train/Abnormal-ELBOW/abnormal_elbow_1115.png,Abnormal,ELBOW,abnormal_elbow
multiclass_train/Abnormal-ELBOW/abnormal_elbow_1116.png,Abnormal,ELBOW,abnormal_elbow
multiclass_train/Abnormal-ELBOW/abnormal_elbow_1117.png,Abnormal,ELBOW,abnormal_elbow
multiclass_train/Abnormal-ELBOW/abnormal_elbow_1118.png,Abnormal,ELBOW,abnormal_elbow
multiclass_train/Abnormal-ELBOW/abnormal_elbow_1119.png,Abnormal,ELBOW,abnormal_elbow
multiclass_train/Abnormal-ELBOW/abnormal_elbow_1120.png,Abnormal,ELBOW,abnormal_elbow
multiclass_train/Abnormal-ELBOW/abnormal_elbow_1121.png,Abnormal,ELBOW,abnormal_elbow
multiclass_train/Abnormal-ELBOW/abnormal_elbow_1122.png,Abnormal,ELBOW,abnormal_elbow
multiclass_train/Abnormal-ELBOW/abnormal_elbow_1123.png,Abnormal,ELBOW,abnormal_elbow
multiclass_train/Abnormal-ELBOW/abnormal_elbow_1124.png,Abnormal,ELBOW,abnormal_elbow
multiclass_train/Abnormal-ELBOW/abnormal_elbow_1125.png,Abnormal,ELBOW,abnormal_elbow
multiclass_train/Abnormal-ELBOW/abnormal_elbow_1126.png,Abnormal,ELBOW,abnormal_elbow
multiclass_train/Abnormal-ELBOW/abnormal_elbow_1127.png,Abnormal,ELBOW,abnormal_elbow
multiclass_train/Abnormal-ELBOW/abnormal_elbow_1128.png,Abnormal,ELBOW,abnormal_elbow
